MLSNumber,Address,BuildingName,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,AssociationFee,AssociationFeeFrequency,Structure Type ,Acres,LotDimensions,LotDescription,FeeIncludes,Age,InteriorSqFt,Interior SqFt Source,AboveGradeSqFt,BelowGradeSqFt,PropertyCondition,Bedrooms,Baths,BathsFull,PartialBaths,Design,Style,NumberofStories,RoomCount,InteriorFeatures,Flooring,Central Air YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,ElectricalSystem,Water,Sewer,Fireplace YN,FireplaceCount,FireplaceFeatures,KitchenAppliancesFeatures,CookingFuel,Other Rooms,LaundryHookUps,Basement YN,BasementType,BasementDescription,BasementFootprintPct,BasementFinishedPct,Garage YN,GarageSpaces,GarageFeatures,Parking,ExteriorFeatures,ExteriorMaterial,Main Roof,Foundation,PorchDeck,SwimmingPoolType,OtherStructures
DENC504236,33 Hodgkins Pl,,FeeSimple,No,No,No,,,Detached,0.27,80.00 x 147.60,"Flag,FrontYard,Open,RearYard,SideYards",,1963,2250,Estimated,2250,0,Excellent,4,3,2,1,Two,Bilevel,"Lower1,Main",,"BreakfastArea,Carpet,CeilngFans,ComboKitchenDining,KitchenIsland,Pantry,MasterBaths,RecessedLighting,StallShower,TubShower,UpgradedCountertops,WoodFloors","Carpet,CeramicTile,Hardwood",Yes,"CentralAC,ProgrammableThermostat",NaturalGas,ForcedAir,NaturalGas,"150Amps,220Volts,CircuitBreakers",Public,PublicSewer,Yes,1,"BrickFirePl,Mantels,Wood","Built-In Microwave, Built-In Range, Dishwasher, Oven - Single, Oven/Range - Electric, Refrigerator, Stainless Steel Appliances, Stove, Water Heater","Built-In Microwave, Built-In Range, Dishwasher, Oven - Single, Oven/Range - Electric, Refrigerator, Stainless Steel Appliances, Stove, Water Heater",,LowFlrLndry,Yes,"Full,FullyFinished,Heated,Improved,SpaceForRooms,SumpPump,Windows","Full,FullyFinished,Heated,Improved,SpaceForRooms,SumpPump,Windows",,,No,,ConcreteDriveway,ConcreteDriveway,"ExteriorLighting,Sidewalks,StreetLights",Brick,ArchitecturalShingle,,,,
DENC2000054,10 Black Rd,,FeeSimple,No,No,No,,,Detached,0.18,70.00 x 110.00,,,1973,1600,Assessor,1600,0,,3,2,1,1,One,Rancher,Main,,,,Yes,CentralAC,Oil,ForcedAir,Electric,,Public,PublicSewer,No,0,,,,,,Yes,Partial,Partial,,,Yes,1,,,,"AluminumSiding,Brick,VinylSiding",AsbestosShingle,,,,
DENC519126,1108 River Rd,,FeeSimple,No,No,No,,,Detached,0.34,100.00 x 150.00,,,1991,1650,Estimated,1650,0,,3,2,2,,One,Rancher,Main,,,"Carpet,Vinyl",Yes,CentralAC,Electric,HeatPumps,Electric,,Public,PublicSewer,No,0,,,,,MainFlrLndry,No,,,,,Yes,2,AsphaltDriveway,AsphaltDriveway,,"AluminumSiding,Brick,VinylSiding",,Slab,"Patios,Porches",,
DENC512650,6 Silsbee Rd,NONE AVAILABLE,FeeSimple,No,No,Yes,$30 ,Annually,Detached,0.18,,,,1965,2472,Estimated,1900,572,Good,4,3,2,1,Two,Colonial,"Main,Upper1",8,"Bar,CeilngFans,ChairRailings,ExposedBeams,FamRmOffKitchen,FormalSeparateDiningRoom,TubShower,WoodFloors","Carpet,CeramicTile,Hardwood",Yes,CentralAC,Electric,ForcedAir,NaturalGas,220Volts,Public,PublicSewer,Yes,1,"Equipment,Wood","Dishwasher, Dryer - Electric, Humidifier, Microwave, Oven/Range - Gas, Refrigerator, Stainless Steel Appliances, Washer","Dishwasher, Dryer - Electric, Humidifier, Microwave, Oven/Range - Gas, Refrigerator, Stainless Steel Appliances, Washer",,MainFlrLndry,Yes,"Full,PartiallyFinished","Full,PartiallyFinished",,,Yes,1,,,Other,AluminumSiding,Asphalt,,Porches,,
DENC506232,27 Prangs Ln,,FeeSimple,No,No,No,,,Detached,0.48,87.60 x 91.90,,,1951,2350,Estimated,1950,400,Good,3,3,3,,Two,CapeCod,"Lower1,Main,Upper1",,"CeilngFans,ComboKitchenDining,EntryLevBedrm,ExposedBeams,KitchenEatIn,RecessedLighting,UpgradedCountertops",,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,Yes,2,"GasPropane,Wood",,,,MainFlrLndry,Yes,"FullyFinished,Partial","FullyFinished,Partial",,,Yes,2,AsphaltDriveway,AsphaltDriveway,,Frame,,,"Decks,Enclosed,Patios,Porches",InGround,
DENC520064,335 E Roosevelt Ave,,FeeSimple,No,No,No,,,Detached,0.19,70.00 x 110.00,,,1966,3142,Assessor,2650,492,"Good,Average",5,3,2,1,Two,Colonial,"Lower1,Main,Upper1",,"Attic,BreakfastArea,CeilngFans,DiningArea,KitchTableSpce,WoodFloors",Hardwood,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,200PlusAmpService,Public,PublicSewer,Yes,1,GasPropane,,,,,Yes,Partial,Partial,,,Yes,1,,,,"Brick,VinylSiding",Pitched,,,,
DENC518578,118 W Edinburgh Dr,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.15,60x112.5,,,1964,1550,Assessor,900,650,,4,3,3,0,Two,"Bilevel,Colonial","Lower1,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,,,,,,,Yes,"Full,FullyFinished","Full,FullyFinished",,,Yes,1,,,"ExteriorLighting,Sidewalks",VinylSiding,,,,,
DENC504378,12 E 4th St,,FeeSimple,No,No,No,,,End of Row/Townhouse,0.06,15.50 x 175.20,,,1870,1425,Assessor,1425,0,VeryGood,3,2,1,1,Three,Colonial,"Main,Upper1,Upper2",,"BuiltIns,FamRmOffKitchen,FormalSeparateDiningRoom,KitchenGourmet,Skylights,WineStorage,WoodFloors",Hardwood,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,0,,"Cooktop, Dishwasher, Extra Refrigerator/Freezer, Oven - Double, Oven - Wall, Refrigerator, Washer","Cooktop, Dishwasher, Extra Refrigerator/Freezer, Oven - Double, Oven - Wall, Refrigerator, Washer",,BsmtLaundry,Yes,Full,Full,,,No,,,,,"Brick,Stucco",,,,,
DENC502686,126 E 4th St,,FeeSimple,No,No,No,,,Twin/Semi-Detached,0.05,20.20 x 101.90,,,1978,2000,Assessor,2000,0,,3,2,1,1,Two,Colonial,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,,,Public,PublicSewer,,2,,,,,,No,,,,,No,,,,,"Brick,VinylSiding",,,,,
DENC507594,400 Rolling Green Ave,,FeeSimple,No,No,No,,,Detached,0.42,133.70 x 133.00,,,1994,2175,Assessor,2175,0,,4,3,2,1,One,Rancher,"Lower1,Main",,,,Yes,CentralAC,Electric,"ForcedAir,HeatPumpElectricBackUp",Electric,,Public,PublicSewer,Yes,1,,,,,,Yes,FullyFinished,FullyFinished,,,Yes,6,ConcreteDriveway,ConcreteDriveway,,"AluminumSiding,Brick,VinylSiding",,,,,
DENC502934,35 Fantail Ct,,FeeSimple,No,No,No,,,Detached,0.17,62.90 x 108.30,,,1993,1550,Assessor,1550,0,Good,3,3,2,1,Two,Colonial,"Lower1,Main,Upper1",,"CeilngFans,FormalSeparateDiningRoom,KitchenEatIn,KitchTableSpce,Pantry,MasterBaths",,Yes,CentralAC,NaturalGas,ForcedAir,,,Public,PublicSewer,Yes,1,Wood,Stainless Steel Appliances,Stainless Steel Appliances,,BsmtLaundry,Yes,Full,Full,,,Yes,1,ConcreteDriveway,ConcreteDriveway,,"AluminumSiding,VinylSiding",,,"Decks,Patios",,
DENC500888,66 Bunker Hill Rd,,FeeSimple,No,No,No,,,Detached,0.18,70.00 x 109.20,"FrontYard,Level,RearYard,SideYards",,1982,2250,Assessor,2250,0,,4,3,2,1,Two,"Colonial,Traditional","Lower1,Main,Upper1",,"Attic,CeilngFans,FamRmOffKitchen,FloorPlanTraditional,FormalSeparateDiningRoom,KitchenEatIn,KitchTableSpce,MasterBaths,StallShower,UpgradedCountertops,WalkinClosets,WindowTreatments","Carpet,Laminated",Yes,"CeilingFans,CentralAC",PropaneLeased,ForcedAir,Propane,CircuitBreakers,Public,PublicSewer,Yes,1,BrickFirePl,"Built-In Microwave, Dishwasher, Disposal, Oven - Self Cleaning, Oven/Range - Electric, Water Heater","Built-In Microwave, Dishwasher, Disposal, Oven - Self Cleaning, Oven/Range - Electric, Water Heater",,MainFlrLndry,Yes,"Full,PartiallyFinished","Full,PartiallyFinished",,,Yes,1,,,"ExteriorLighting,Sidewalks,StreetLights","Brick,VinylSiding","Pitched,Shingle",,,"DomesticWater,Fenced",
DENC517798,37 Charles Dr,NONE AVAILABLE,FeeSimple,No,No,Yes,$120 ,Annually,Detached,0.18,64.8 x 105,"BacksOpenCommonArea,FrontYard,Level,RearYard,SideYards","CommonAreaMaint,SnowRemoval",1992,2175,Estimated,1175,1000,VeryGood,3,3,2,1,One,Rancher,Main,8,"Carpet,CeilngFans,KitchenEatIn,Pantry,TubShower,WalkinClosets","Carpet,CeramicTile,Laminated",Yes,CentralAC,NaturalGas,90ForcedAir,Electric,"150Amps,CircuitBreakers",Public,PublicSewer,Yes,1,FreeStanding,"Built-In Microwave, Dishwasher, Disposal, Dryer, Oven - Self Cleaning, Oven/Range - Gas, Refrigerator, Stainless Steel Appliances, Washer, Water Heater","Built-In Microwave, Dishwasher, Disposal, Dryer, Oven - Self Cleaning, Oven/Range - Gas, Refrigerator, Stainless Steel Appliances, Washer, Water Heater",,MainFlrLndry,Yes,"DrainageSystem,FullyFinished,Heated","DrainageSystem,FullyFinished,Heated",,,Yes,2,,,Outbuildings,"Frame,VinylSiding",Fiberglass,ConcretePerimeter,Patios,,
DENC524222,119 Harmony St,,FeeSimple,No,No,No,,,End of Row/Townhouse,0.03,16.00 x 82.10,,,1870,1650,Assessor,1650,0,,3,2,1,1,Two,Colonial,"Main,Upper1",,,,No,None,NaturalGas,HotWater,Electric,,Public,PublicSewer,,0,,,,,,Yes,Partial,Partial,,,No,,,,,"AluminumSiding,VinylSiding",,,,,
DENC522032,15 Lesley Ln,,FeeSimple,No,No,No,,,Detached,0.23,70.00 x 140.00,,,1972,1725,Assessor,1725,0,,3,4,2,2,Two,Colonial,"Lower1,Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,0,,,,,,Yes,Partial,Partial,,,Yes,1,ConcreteDriveway,ConcreteDriveway,HotTub,"Brick,VinylSiding",,,,,
DENC517746,128 Colesbery Drive,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.17,,,,1962,1600,Assessor,1600,0,,4,2,2,,Two,Colonial,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,Yes,,,,,,,Yes,Full,Full,,,Yes,3,,,"Outbuildings,Sidewalks",AluminumSiding,,,,,
DENC510668,25 Hodgkins Pl,,FeeSimple,No,No,No,,,Detached,0.28,121.20 x 105.70,,,1963,2466,Assessor,1850,616,,5,2,2,,One,Rancher,"Lower1,Main",,,,Yes,CentralAC,NaturalGas,Central,NaturalGas,,Public,PublicSewer,Yes,1,BrickFirePl,"Disposal, Dryer - Gas, Exhaust Fan, Microwave, Oven/Range - Gas, Range Hood, Stainless Steel Appliances, Washer","Disposal, Dryer - Gas, Exhaust Fan, Microwave, Oven/Range - Gas, Range Hood, Stainless Steel Appliances, Washer",,"BsmtLaundry,LowFlrLndry",Yes,"ConnectingStairway,Full,OutsideEntrance,PartiallyFinished,WalkoutLevel,Windows","ConnectingStairway,Full,OutsideEntrance,PartiallyFinished,WalkoutLevel,Windows",,,No,,,,,"Asbestos,Brick","Pitched,Shingle",,"Enclosed,Porches",,
DENC509930,6 Fithian Dr,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.18,,,,1960,1600,Estimated,1600,0,,4,3,2,1,Two,Colonial,"Lower1,Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,No,,,,,,,Yes,Full,Full,,,Yes,1,,,Sidewalks,VinylSiding,,,,,
DENC497980,521 Mason Dr,,FeeSimple,No,No,Yes,$150 ,Annually,Detached,0.17,90.00 x 100.00,"FrontYard,Landscaping,RearYard,SideYards",,1995,1800,Assessor,1800,0,Good,4,3,2,1,Two,Colonial,"Lower1,Main,Upper1",8,"Attic,BuiltIns,Carpet,CeilngFans,DiningArea,FamRmOffKitchen,FloorPlanTraditional,FormalSeparateDiningRoom,KitchenEatIn,Pantry,MasterBaths,StallShower,TubShower,UpgradedCountertops,WalkinClosets,WindowTreatments","Carpet,CeramicTile,Hardwood,Vinyl",Yes,CentralAC,NaturalGas,"Central,ForcedAir",,,Private,"NoSepticSystem,PublicSewer",No,0,,"Dishwasher, Disposal, Dryer, Exhaust Fan, Oven - Self Cleaning, Refrigerator, Washer","Dishwasher, Disposal, Dryer, Exhaust Fan, Oven - Self Cleaning, Refrigerator, Washer",,"BsmtLaundry,Hookup",Yes,Full,Full,,100,Yes,1,"ConcreteDriveway,LightedParking","ConcreteDriveway,LightedParking","ExteriorLighting,Other,Sidewalks,StreetLights","AluminumSiding,VinylSiding","Pitched,Unknown",,Decks,,
DENC522188,10 W Violette Dr,,FeeSimple,No,No,Yes,$120 ,SemiAnnually,Detached,0.18,65.00 x 120.00,,,1993,2086,Assessor,1575,511,,3,3,2,1,Two,SplitLevel,"Lower1,Main,Upper1",,,,Yes,CentralAC,Electric,ForcedAir,Electric,,Public,PublicSewer,,0,,,,,,Yes,Full,Full,,,No,,,,,"AluminumSiding,VinylSiding",,,,,
DENC522552,142 W Independence Blvd,,FeeSimple,No,No,No,,,Detached,0.15,62.00 x 110.00,"BacksOpenCommonArea,BackstoTrees,BacksParkland,Cleared,FrontYard,Landscaping,Level,Open,Private,RearYard",,1973,2175,Assessor,2175,,,4,3,2,1,Two,Colonial,"Lower1,Main,Upper1",,"BreakfastArea,Carpet,CeilngFans,ComboKitchenDining,DiningArea,FloorPlanTraditional,FormalSeparateDiningRoom,KitchenEatIn,KitchenGalley,KitchenGourmet,KitchenIsland,Other,MasterBaths,RecessedLighting,SoakingTub,StallShower,TubShower,UpgradedCountertops,WalkinClosets,WoodFloors,WoodStove","Carpet,CeramicTile,Hardwood",Yes,CentralAC,Oil,ForcedAir,Electric,,Public,PublicSewer,No,,,"Dishwasher, Dryer, Oven/Range - Gas, Range Hood, Refrigerator, Washer, Water Heater","Dishwasher, Dryer, Oven/Range - Gas, Range Hood, Refrigerator, Washer, Water Heater",,BsmtLaundry,Yes,"Full,Partial,PartiallyFinished","Full,Partial,PartiallyFinished",,,Yes,1,,,,"AluminumSiding,Brick,VinylSiding",,,,,
DENC520918,110 Sugarberry Dr,,FeeSimple,No,No,Yes,$150 ,Annually,Detached,0.16,71.79 x 100.00,,,1992,1575,Assessor,1575,0,Excellent,3,3,2,1,Two,Colonial,"Main,Upper1",,"Carpet,CeilngFans,DiningArea,FamRmOffKitchen,FloorPlanTraditional,KitchenEatIn,MasterBaths,StallShower,TubShower","Carpet,CeramicTile,Vinyl",Yes,CentralAC,NaturalGas,ForcedAir,Electric,100AmpService,Public,PublicSewer,No,0,,"Built-In Microwave, Dishwasher, Dryer, Oven/Range - Gas, Refrigerator, Stainless Steel Appliances, Washer, Water Heater","Built-In Microwave, Dishwasher, Dryer, Oven/Range - Gas, Refrigerator, Stainless Steel Appliances, Washer, Water Heater",,MainFlrLndry,No,,,,,Yes,1,AsphaltDriveway,AsphaltDriveway,,"StickBuilt,VinylSiding",ArchitecturalShingle,Slab,"Enclosed,Porches",,
DENC520596,17 Bunker Hill Rd,,FeeSimple,No,No,No,,,Detached,0.21,83.60 x 105.00,,,1974,1825,Assessor,1825,0,,4,3,2,1,Two,Colonial,"Lower1,Main,Upper1",,,,Yes,CentralAC,Oil,ForcedAir,Electric,,Public,PublicSewer,,1,,,,,,Yes,Partial,Partial,,,Yes,2,,,,"AluminumSiding,Brick,VinylSiding",,,,,
DENC509526,16 Creek Dr,,FeeSimple,No,No,No,,,Detached,0.37,108.30 x 150.00,,,1999,1700,Assessor,1700,0,,3,2,2,,One,Rancher,Main,,"BreakfastArea,CedarClosets,KitchenIsland,Skylights",,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,0,,,,,,Yes,"Full,OutsideEntrance","Full,OutsideEntrance",,,Yes,2,,,LawnSprinkler,"AluminumSiding,VinylSiding",,,,,
DENC521310,308 Oregon Ave,,FeeSimple,No,No,No,,,Detached,0.19,70.00 x 110.10,,,1968,1650,Assessor,1650,0,Average,4,2,1,1,Two,Colonial,"Main,Upper2",,"FamRmOffKitchen,FloorPlanOpen,KitchenGourmet",,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,,1,,,,,,Yes,Partial,Partial,,,No,,,,,"Asbestos,Brick",ArchitecturalShingle,,,,
DENC520560,122 Lorraine Dr,NONE AVAILABLE,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.06,,,,2015,1925,Assessor,1925,0,,3,3,2,1,Two,Contemporary,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,Central,Electric,,Public,PublicSewer,,,,,,,,Yes,Unfinished,Unfinished,,,Yes,1,,,Sidewalks,Concrete,,,,,
DENC513184,102 Pleasantville Ct,,FeeSimple,No,No,No,,,Detached,0.16,0.00 x 0.00,,,2014,2425,Estimated,1775,650,Excellent,3,3,2,1,TwoandaHalf,RaisedRanch,"Lower1,Main,Upper1",,"Carpet,CeilngFans,KitchenIsland,WalkinClosets","Carpet,Vinyl",Yes,CentralAC,NaturalGas,ForcedAir,Electric,150Amps,Public,PublicSewer,Yes,0,,"Built-In Microwave, Dishwasher, Disposal, Dryer, Oven/Range - Gas, Refrigerator, Washer","Built-In Microwave, Dishwasher, Disposal, Dryer, Oven/Range - Gas, Refrigerator, Washer",,UpprFlrLndry,Yes,"Full,PartiallyFinished","Full,PartiallyFinished",,,Yes,2,"PavedDriveway,SharedDriveway","PavedDriveway,SharedDriveway",,VinylSiding,ArchitecturalShingle,,,,
DENC511082,319 S Booth Dr,,FeeSimple,No,No,No,,,Detached,0.19,70.00 x 110.00,,,1969,1975,Assessor,1975,0,,4,3,2,1,Two,Colonial,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,Yes,1,Wood,,,,MainFlrLndry,Yes,Partial,Partial,,,No,,,,,"Asbestos,Brick",,,,InGround,
DENC510054,919 Moores Ln,,FeeSimple,No,No,No,,,Detached,0.59,100.00 x 175.00,,,1988,2575,Assessor,2575,0,"Excellent,VeryGood,Average",3,2,2,,Two,SaltBox,"Main,Upper1",,,,Yes,CentralAC,Electric,"BaseboardElectric,HeatPumps",NaturalGas,,Public,PublicSewer,,0,,,,,,Yes,"Full,Unfinished","Full,Unfinished",,,Yes,2,,,,"AluminumSiding,VinylSiding",ArchitecturalShingle,,,,
DENC508994,211 Mendell Pl,,FeeSimple,No,No,No,,,Detached,0.41,140.70 x 125.00,,,1956,3077,Assessor,2325,752,,3,3,2,1,OneandaHalf,SplitLevel,"Lower1,Main,Upper1",,,,Yes,CentralAC,NaturalGas,BaseboardHotWater,NaturalGas,,Public,PublicSewer,Yes,1,Wood,"Dishwasher, Disposal, Dryer, Microwave, Oven/Range - Electric, Refrigerator, Washer, Water Heater","Dishwasher, Disposal, Dryer, Microwave, Oven/Range - Electric, Refrigerator, Washer, Water Heater",,,Yes,Full,Full,,,Yes,2,,,,"AluminumSiding,Brick,VinylSiding",Pitched,,,,
DENC507984,104 Lesley Ln,,FeeSimple,No,No,No,,,Detached,0.3,88.70 x 113.40,"Corner,FrontYard,Level",,1969,1975,Assessor,1975,0,VeryGood,4,3,2,1,Two,Colonial,"Main,Upper1",,"CeilngFans,FamRmOffKitchen,FormalSeparateDiningRoom,KitchenEatIn,KitchTableSpce,RecessedLighting,UpgradedCountertops,WoodFloors",,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,,Public,PublicSewer,Yes,1,Wood,,,,MainFlrLndry,Yes,Partial,Partial,,,Yes,2,,,"ExteriorLighting,Sidewalks,StreetLights",Frame,,,"Patios,Porches",,
DENC505012,16 Finney Rd,,FeeSimple,No,No,No,,,Detached,0.18,73.00 x 110.00,,,1956,1781,Assessor,1500,281,,3,2,2,,Two,SplitLevel,"Lower1,Main",,,,Yes,CentralAC,NaturalGas,BaseboardHotWater,NaturalGas,,Public,NoSepticSystem,,1,,,,,,Yes,Full,Full,,,Yes,1,,,,"Brick,Frame",,,,,
DENC518324,51 Lasalle Ave,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.29,89.3x110,,,1950,2400,Estimated,1500,900,,4,2,2,0,One,Rancher,"Lower1,Main",,,,Yes,CentralAC,Electric,"ForcedAir,HeatPumps",Electric,,Public,PublicSewer,,,,,,,,Yes,"Full,FullyFinished","Full,FullyFinished",,,No,,Private,Private,"ExteriorLighting,Sidewalks",Stone,,,,InGround,
DENC509382,35 Charles Dr,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.16,105 x 65,BacksOpenCommonArea,,1991,1940,Estimated,1400,540,,3,2,2,,One,Rancher,Main,7,,,Yes,CentralAC,NaturalGas,ForcedAir,Electric,,Public,PublicSewer,No,,,,,,,Yes,FullyFinished,FullyFinished,,,Yes,2,,,StreetLights,VinylSiding,Asphalt,,Decks,,
DENC507246,17 W Violette Dr,,FeeSimple,No,No,No,,,Detached,0.16,95.90 x 105.90,,,1994,1765,Estimated,1765,0,VeryGood,3,3,2,1,Two,Colonial,"Lower1,Main,Upper1",,"FamRmOffKitchen,KitchenEatIn,SprinklerSystem,WindowTreatments,WoodFloors","Carpet,Hardwood",Yes,CentralAC,NaturalGas,ForcedAir,Electric,150Amps,Public,PublicSewer,Yes,1,,"Built-In Microwave, Cooktop, Dishwasher, Dryer, Refrigerator, Washer","Built-In Microwave, Cooktop, Dishwasher, Dryer, Refrigerator, Washer",,BsmtLaundry,Yes,"Full,PartiallyFinished","Full,PartiallyFinished",,75,Yes,2,,,LawnSprinkler,"AluminumSiding,VinylSiding",ArchitecturalShingle,,,,
DENC522852,87 E Violette Dr,,FeeSimple,No,No,Yes,$120 ,Annually,Detached,0.17,76.60 x 110.00,,,1993,2086,Assessor,1575,511,,3,2,1,1,Two,"SplitLevel,Traditional","Lower1,Main,Upper1",7,,,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,200PlusAmpService,Public,PublicSewer,,0,,,,,,Yes,Full,Full,,,Yes,1,,,,"AluminumSiding,VinylSiding",,,,,
DENC506252,14 George Read Rd,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.18,110 x 70,,,1965,1650,Assessor,1650,0,,4,3,2,1,Two,Colonial,"Main,Upper1",9,,,Yes,CentralAC,NaturalGas,90ForcedAir,NaturalGas,"150Amps,CircuitBreakers",Public,PublicSewer,Yes,1,Wood,,,,,Yes,Full,Full,,,Yes,1,,,"Outbuildings,Sidewalks","Brick,VinylSiding",,,Porches,,
DENC519868,321 Ava Dr,,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.06,0.00 x 0.00,,,2018,2500,Assessor,2500,0,VeryGood,3,3,2,1,Three,Other,Main,,,,Yes,CentralAC,NaturalGas,ForcedAir,Electric,,Public,PublicSewer,,0,,,,,,Yes,DaylightFull,DaylightFull,,,Yes,1,,,,"AluminumSiding,VinylSiding",,,,,
DENC518198,760 Staghorn Dr,,FeeSimple,No,No,No,,,Detached,0.21,108.00 x 100.00,Corner,,1996,2048,Assessor,1550,498,Excellent,3,2,1,1,Four,SplitLevel,"Lower1,Lower2,Main,Upper1",,,"Carpet,Vinyl",Yes,CentralAC,NaturalGas,ForcedAir,Electric,150Amps,Private,PublicSewer,,1,,,,,,Yes,Full,Full,,,Yes,2,AsphaltDriveway,AsphaltDriveway,,"AluminumSiding,VinylSiding",ArchitecturalShingle,,,,
DENC510920,124 Sweetbay Ln,,FeeSimple,No,No,Yes,$150 ,Annually,Detached,0.18,60.00 x 100.00,,,1997,1800,Assessor,1800,0,,4,3,2,1,Two,Colonial,"Main,Upper1",,,,Yes,CentralAC,"Electric,NaturalGas",HeatPumpGasBackUp,Electric,,Public,PublicSewer,,0,,,,,,Yes,Full,Full,,,Yes,1,,,,"AluminumSiding,VinylSiding",,,,,
DENC505902,113 Lovelace Ave,,FeeSimple,No,No,No,,,Detached,0.81,61.70 x 276.90,,,1964,2025,Assessor,2025,0,,3,4,3,1,Two,CapeCod,"Lower1,Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,None,,Public,PublicSewer,,0,,,,,,Yes,Partial,Partial,,,Yes,2,,,,"AluminumSiding,Brick,VinylSiding",,,,,
DENC505008,137 Landers Ln,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.26,65x190,,,1953,2750,Estimated,1950,800,,4,3,3,0,OneandaHalf,"CapeCod,Colonial,Rancher","Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,Other,200PlusAmpService,Public,PublicSewer,,,,,,,,Yes,FullyFinished,FullyFinished,,,No,,Private,Private,ExteriorLighting,Brick,,,,,
DENC502670,32 Saratoga Dr,,FeeSimple,No,No,No,,,Detached,0.17,70.00 x 105.00,,,1981,3712,Assessor,2400,1312,VeryGood,5,3,2,1,OneandaHalf,SplitLevel,"Lower1,Main",,"BuiltIns,Carpet,CeilngFans,KitchenEatIn,KitchenIsland,MasterBaths","Carpet,CeramicTile,Hardwood",Yes,CentralAC,Electric,ForcedAir,Electric,"200PlusAmpService,CircuitBreakers",Public,PublicSewer,Yes,2,"BrickFirePl,FreeStanding,Insert,Wood",,,,LowFlrLndry,Yes,Partial,Partial,,,Yes,1,ConcreteDriveway,ConcreteDriveway,"ExtensiveHardscape,Sidewalks","Brick,VinylSiding","Pitched,Shingle",,Patios,"Fenced,Filtered,InGround,Gunite",
DENC510452,115 Sugarberry Dr,,FeeSimple,No,No,Yes,$150 ,Annually,Detached,0.16,69.40 x 100.00,,"CommonAreaMaint,SnowRemoval",1991,0,Estimated,0,0,,3,3,2,1,Two,Colonial,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,Central,Electric,,Public,PublicSewer,No,0,,,,,MainFlrLndry,Yes,Full,Full,,,Yes,1,ConcreteDriveway,ConcreteDriveway,,"AluminumSiding,VinylSiding",,,,,
DENC504322,164 Sugarberry Dr,,FeeSimple,No,No,Yes,$150 ,Annually,Detached,0.23,57.40 x 138.20,,,1992,2000,Assessor,2000,0,,3,3,3,,Two,Colonial,Main,,,,Yes,CentralAC,NaturalGas,ForcedAir,Electric,,Public,PublicSewer,,1,,,,,,Yes,Full,Full,,,No,,,,,VinylSiding,ArchitecturalShingle,,,,
DENC524304,4 E Bellamy Dr,,FeeSimple,No,No,Yes,$275 ,Unknown,Detached,0.15,60.00 x 110.00,,,1969,1575,Assessor,1575,0,Excellent,4,2,2,,Two,Colonial,"Main,Upper1",,"Carpet,DiningArea,FamRmOffKitchen,FloorPlanOpen,RecessedLighting","Carpet,CeramicTile,Laminated",Yes,CentralAC,NaturalGas,HeatPumpGasBackUp,NaturalGas,,Public,PublicSewer,No,0,,"Built-In Microwave, Dishwasher, Icemaker, Oven/Range - Gas, Refrigerator","Built-In Microwave, Dishwasher, Icemaker, Oven/Range - Gas, Refrigerator",,BsmtLaundry,Yes,Full,Full,,,No,,,,,"Brick,VinylSiding",Shingle,,,,
